StateA,State,District,Year,Dcandidate,Rcandidate,Ocandidate,Dpercent,Rpercent,Opercent,IncumbentParty,Winner,Margin,IncOverPerformance,P2024,P2020,P2016,P2012,P2008,P2004,P2000,Evs,Redistricted,Polls,Chance,Median
WY,Wyoming,C1,2008,Nick Carter,John Barrasso,,26.5,73.4,,,,-46.9,,,-43.39,-46.29,-40.82,-32.24,-39.79,-40.06,,,,,
AL,Alabama,C2,2008,Vivian Davis Figures,Jeff Sessions,,36.5,63.4,,,,-26.9,,,-25.46,-27.72,-22.19,-21.58,-25.62,-14.91,,,,,
AK,Alaska,C2,2008,Mark Begich,Ted Stevens,,47.8,46.6,,,,1.2,,,-10.06,-14.73,-13.99,-21.53,-25.55,-30.95,,,,,
AR,Arkansas,C2,2008,Mark Pryor,,Rebekah Kennedy,79.5,,20.5,,,59,,,-27.62,-26.92,-23.69,-19.86,-9.76,-5.45,,,,,
CO,Colorado,C2,2008,Mark Udall,Bob Schaffer,,52.8,42.5,,,,10.3,,,13.5,4.91,5.36,8.95,-4.67,-8.36,,,,,
DE,Delaware,C2,2008,Joe Biden,Christine O'Donnell,,64.7,35.3,,,,29.4,,,18.97,11.37,18.63,24.99,7.6,13.06,,,,,
GA,Georgia,C2,2008,Jim Martin,Saxbyy Chambliss,,42.5,57.5,,,,-15,,,0.23,-5.13,-7.82,-5.21,-16.6,-11.69,,,,,
ID,Idaho,C2,2008,Larry LaRocco,Jim Risch,,34.1,57.7,,,,-23.6,,,-30.77,-31.77,-31.69,-25.43,-38.12,-39.53,,,,,
IL,Illinois,C2,2008,Dick Durbin,Steve Sauerberg,,67.8,28.5,,,,39.3,,,16.99,17.07,16.84,25.14,10.34,12.02,,,,,
IA,Iowa,C2,2008,Tom Harkin,Christopher Reed,,62.7,37.3,,,,25.4,,,-8.2,-9.41,5.81,9.54,-0.67,0.32,,,,,
KS,Kansas,C2,2008,Pat Roberts,Jim Slattery,,36.4,60,,,,-23.6,,,-14.63,-20.6,-21.61,-14.96,-25.38,-20.8,,,,,
KY,Kentucky,C2,2008,Mitch McConnell,Bruce Lunsford,,47,53,,,,-6,,,-25.94,-29.84,-22.69,-16.23,-19.86,-15.13,,,,,
LA,Louisiana,C2,2008,Mary Landrieu,John Kennedy,,52.1,45.7,,,,6.4,,,-18.61,-19.64,-17.2,-18.63,-14.5,-7.67,,,,,
ME,Maine,C2,2008,Tom Allen,Susan Collins,,38.6,61.3,,,,-22.7,,,9.07,2.96,15.29,17.33,8.99,5.12,,,,,
MA,Massachusetts,C2,2008,John Kerry,Jeff Beatty,,65.8,31,,,,34.8,,,33.46,27.2,23.15,25.81,25.16,27.3,,,,,
MI,Michigan,C2,2008,Carl Levin,Jack Hoogendyk,,62.7,33.8,,,,28.9,,,2.78,-0.23,9.5,16.47,3.42,5.13,,,,,
MN,Minnesota,C2,2008,Al Franken,Norm Coleman,,41.99,41.98,,,,0.01,,,7.12,1.52,7.69,10.24,3.48,2.41,,,,,
MS,Mississippi,C2,2008,Erik R. Fleming,Thad Cochran,,38.6,61.4,,,,-22.8,,,-16.54,-17.8,-11.5,-13.18,-19.69,-16.92,,,,,
MT,Montana,C2,2008,Max Baucus,Bob Kelleher,,72.9,27.1,,,,45.8,,,-16.37,-20.42,-13.65,-2.26,-20.51,-25.08,,,,,
NE,Nebraska,C2,2008,Scott Kleeb,Mike Johanns,,40.1,57.5,,,,-17.4,,,-19.05,-25.05,-21.77,-14.93,-33.22,-29,,,,,
NH,New Hampshire,C2,2008,Jeanne Shaheen,John E. Sununu,,51.7,45.2,,,,6.5,,,7.35,0.37,5.58,9.61,1.37,-1.27,,,,,
NJ,New Jersey,C2,2008,Frank Lautenberg,Dick Zimmer,,56,42,,,,14,,,15.93,14.1,17.79,15.57,6.68,15.84,,,,,
NM,New Mexico,C2,2008,Tom Udall,Steve Pearce,,61.3,38.7,,,,22.6,,,10.79,8.22,10.15,15.13,-0.79,0.06,,,,,
NC,North Carolina,C2,2008,Kay Hagan,Elizabeth Dole,,52.7,44.2,,,,8.5,,,-1.34,-3.66,-2.04,0.32,-12.44,-12.83,,,,,
OK,Oklahoma,C2,2008,Andrew Rice,Jim Inhofe,,39.2,56.7,,,,-17.5,,,-33.08,-36.39,-33.54,-31.3,-31.14,-21.88,,,,,
OR,Oregon,C2,2008,Jeff Merkley,Gordon H. Smith,,48.9,45.6,,,,3.3,,,16.08,10.98,12.09,16.35,4.16,0.44,,,,,
RI,Rhode Island,C2,2008,Jack Reed,Robert Tingle,,73.4,26.6,,,,46.8,,,20.78,15.51,27.46,27.8,20.75,29.08,,,,,
SC,South Carolina,C2,2008,Bob Conley,Lindsey Graham,,42.3,57.5,,,,-15.2,,,-11.68,-14.27,-10.47,-8.97,-17.08,-15.94,,,,,
SD,South Dakota,C2,2008,Tim Johnson,Joel Dykstra,,62.5,37.5,,,,25,,,-26.16,-29.79,-18.02,-8.41,-21.47,-22.74,,,,,
TN,Tennessee,C2,2008,Bob Tuke,Lamar Alexander,,31.6,65.1,,,,-33.5,,,-23.21,-26,-20.4,-15.07,-14.27,-3.87,,,,,
TX,Texas,C2,2008,Rick Noriega,John Cornyn,,42.8,54.8,,,,-12,,,-5.58,-8.99,-15.79,-11.77,-22.87,-21.32,,,,,
VA,Virginia,C2,2008,Mark Warner,Jim Gilmore,,65,33.7,,,,31.3,,,10.11,5.32,3.88,6.3,-8.2,-8.03,,,,,
WV,West Virginia,C2,2008,Jay Rockefeller,Jay Wolfe,,63.7,36.3,,,,27.4,,,-38.93,-42.07,-26.76,-13.12,-12.86,-6.33,,,,,
WY,Wyoming,C2,2008,Chris Rothfuss,Mike Enzi,,24.3,75.6,,,,-51.3,,,-43.39,-46.29,-40.82,-32.24,-39.79,-40.06,,,,,
MA,Massachusetts,C1,2010,Martha Coakley,Scott Brown,,47.1,51.9,,,,-4.8,,,33.46,27.2,23.15,25.81,25.16,27.3,,,,,
DE,Delaware,C2,2010,Chris Coons,Christine O'Donnell,,56.6,40,,,,16.6,,,18.97,11.37,18.63,24.99,7.6,13.06,,,,,
IL,Illinois,C3,2010,Alexi Giannoulias,Mark Kirk,,46.3,48.2,,,,-1.9,,,16.99,17.07,16.84,25.14,10.34,12.02,,,,,
NY,New York,C1,2010,Kirsten Gillibrand,Joe DioGuardi,,59.6,33.3,,,,26.3,,,23.13,22.49,28.18,26.85,18.29,24.98,,,,,
WV,West Virginia,C1,2010,Joe Manchin,John Raese,,53.5,43.4,,,,10.1,,,-38.93,-42.07,-26.76,-13.12,-12.86,-6.33,,,,,
AL,Alabama,C3,2010,William G. Barnes,Richard Shelby,,34.7,65.3,,,,-30.6,,,-25.46,-27.72,-22.19,-21.58,-25.62,-14.91,,,,,
AK,Alaska,C3,2010,Scott McAdams,Joe Miller,Lisa Murkowski,23.5,35.5,39.5,,,RN/A,,,-10.06,-14.73,-13.99,-21.53,-25.55,-30.95,,,,,
AZ,Arizona,C3,2010,Rodney Glassman,John McCain,,34.7,59.2,,,,-24.5,,,0.3,-3.5,-9.06,-8.52,-10.47,-6.29,,,,,
AR,Arkansas,C3,2010,Blanche Lincoln,John Boozman,,36.9,58,,,,-21.1,,,-27.62,-26.92,-23.69,-19.86,-9.76,-5.45,,,,,
CA,California,C3,2010,Barbara Boxer,Carly Fiorina,,52.1,42.5,,,,9.6,,,29.16,30.11,23.12,24.06,9.95,11.8,,,,,
CO,Colorado,C3,2010,Michael Bennet,Ken Buck,,48.1,46.3,,,,1.8,,,13.5,4.91,5.36,8.95,-4.67,-8.36,,,,,
CT,Connecticut,C3,2010,Richard Blumenthal,Linda McMahon,,55.1,43.3,,,,11.8,,,20.07,13.64,17.33,22.37,10.36,17.47,,,,,
FL,Florida,C3,2010,Kendrick Meek,Marco Rubio,Charlie Crist,20.1,48.9,29.7,,,-19.2,,,-3.36,-1.2,0.88,2.81,-5.01,-0.01,,,,,
GA,Georgia,C3,2010,Mike Thurmond,Johnny Isakson,,39.2,58.1,,,,-18.9,,,0.23,-5.13,-7.82,-5.21,-16.6,-11.69,,,,,
HI,Hawaii,C3,2010,Daniel Inouye,Campbbell Cavasso,,74.8,21.6,,,,53.2,,,29.46,32.19,42.71,45.27,8.75,18.33,,,,,
ID,Idaho,C3,2010,Tom Sullivan,Mike Crapo,,25,71.1,,,,-46.1,,,-30.77,-31.77,-31.69,-25.43,-38.12,-39.53,,,,,
IL,Illinois,C3,2010,Alexi Giannoulias,Mark Kirk,,46.3,48.2,,,,-1.9,,,16.99,17.07,16.84,25.14,10.34,12.02,,,,,
IN,Indiana,C3,2010,Brad Ellsworth,Dan Coats,,40,54.6,,,,-14.6,,,-16.07,-19.17,-10.2,1.04,-20.68,-15.64,,,,,
IA,Iowa,C3,2010,Roxanne Conlin,Chuck Grassley,,33.2,64.5,,,,-31.3,,,-8.2,-9.41,5.81,9.54,-0.67,0.32,,,,,
KS,Kansas,C3,2010,Lisa Johnston,Jerry Moran,,26.2,70.3,,,,-44.1,,,-14.63,-20.6,-21.61,-14.96,-25.38,-20.8,,,,,
KY,Kentucky,C3,2010,Jack Conway,Rand Paul,,44.2,55.8,,,,-11.6,,,-25.94,-29.84,-22.69,-16.23,-19.86,-15.13,,,,,
LA,Louisiana,C3,2010,Charlie Melancon,David Vitter,,37.7,56.6,,,,-18.9,,,-18.61,-19.64,-17.2,-18.63,-14.5,-7.67,,,,,
MD,Maryland,C3,2010,Barbara Mikulski,Eric Wargotz,,61.8,36.3,,,,25.5,,,33.21,26.42,26.07,25.45,12.98,16.39,,,,,
MO,Missouri,C3,2010,Robin Carnahan,Roy Blunt,,40.6,54.3,,,,-13.7,,,-15.39,-18.63,-9.38,-0.14,-7.2,-3.34,,,,,
NV,Nevada,C3,2010,Harry Reid,Sharron Angle,,50.2,44.6,,,,5.6,,,2.39,2.42,6.68,12.5,-2.59,-3.54,,,,,
NH,New Hampshire,C3,2010,Paul Hodes,Kelly Ayotte,,36.7,60.2,,,,-23.5,,,7.35,0.37,5.58,9.61,1.37,-1.27,,,,,
NY,New York,C3,2010,Chuck Schumer,Jay Townsend,,66.3,32.2,,,,34.1,,,23.13,22.49,28.18,26.85,18.29,24.98,,,,,
NC,North Carolina,C3,2010,Elaine Marshall ,Richard Burr,,42.9,55,,,,-12.1,,,-1.34,-3.66,-2.04,0.32,-12.44,-12.83,,,,,
ND,North Dakota,C3,2010,Tracy Potter,John Hoeven,,22.2,76.2,,,,-54,,,-33.34,-35.73,-19.62,-8.63,-27.36,-27.6,,,,,
OH,Ohio,C3,2010,Lee Fisher,Rob Portman,,39,57.3,,,,-18.3,,,-8.03,-8.13,2.98,4.59,-2.1,-3.51,,,,,
OK,Oklahoma,C3,2010,Jim Rogers,Tom Coburn,,26.1,70.5,,,,-44.4,,,-33.08,-36.39,-33.54,-31.3,-31.14,-21.88,,,,,
OR,Oregon,C3,2010,Ron Wyden,Jim Huffman,,57.2,39.4,,,,17.8,,,16.08,10.98,12.09,16.35,4.16,0.44,,,,,
PA,Pennsylvania,C3,2010,Joe Sestak,Pat Toomey,,48.99,51.01,,,,-2.02,,,1.16,-0.72,5.38,10.32,2.5,4.17,,,,,
SC,South Carolina,C3,2010,Alvin Greene,Jim DeMint,Tom Clements,28.2,62.4,9.4,,,-34.2,,,-11.68,-14.27,-10.47,-8.97,-17.08,-15.94,,,,,
SD,South Dakota,C3,2010,,John Thune,,,,,,,RN/A,,,-26.16,-29.79,-18.02,-8.41,-21.47,-22.74,,,,,
UT,Utah,C3,2010,Sam Granato,Mike Lee,,32.8,61.6,,,,-28.8,,,-20.48,-18.08,-47.93,-28.17,-45.54,-40.49,,,,,
VT,Vermont,C3,2010,Patrick Leahy,Len Britton,,64.4,30.9,,,,33.5,,,35.42,26.41,35.6,37.01,20.14,9.93,,,,,
WA,Washington,C3,2010,Patty Murray,Dino Rossi,,52.1,47.4,,,,4.7,,,19.2,15.71,14.87,17.17,7.18,5.58,,,,,
WI,Wisconsin,C3,2010,Russ Feingold,Ron Johnson,,47,51.9,,,,-4.9,,,0.63,-0.77,6.94,13.91,0.38,0.22,,,,,
AZ,Arizona,C1,2012,Richard Carmona,Jeff Flake,,46.1,49.2,,,,-3.1,,,0.3,-3.5,-9.06,-8.52,-10.47,-6.29,,,,,
CA,California,C1,2012,Dianne Feinstein,Elizabeth Emken,,62.5,37.5,,,,25,,,29.16,30.11,23.12,24.06,9.95,11.8,,,,,
CT,Connecticut,C1,2012,Chris Murphy,Linda McMahon,,54.8,43.1,,,,11.7,,,20.07,13.64,17.33,22.37,10.36,17.47,,,,,
DE,Delaware,C1,2012,Tom Carper,Kevin Wade,,66.4,29,,,,37.4,,,18.97,11.37,18.63,24.99,7.6,13.06,,,,,
FL,Florida,C1,2012,Bill Nelson,Connie Mack IV,,55.2,42.2,,,,13,,,-3.36,-1.2,0.88,2.81,-5.01,-0.01,,,,,
HI,Hawaii,C1,2012,Mazie Hirono,Linda Lingle,,62.6,37.4,,,,25.2,,,29.46,32.19,42.71,45.27,8.75,18.33,,,,,
IN,Indiana,C1,2012,Joe Donnlly,Richard Mourdock,,50,44.2,,,,5.8,,,-16.07,-19.17,-10.2,1.04,-20.68,-15.64,,,,,
ME,Maine,C1,2012,Cynthia Dill,Charlie Summers,Angus King,13.3,30.7,52.9,,,22.2,,,9.07,2.96,15.29,17.33,8.99,5.12,,,,,
MD,Maryland,C1,2012,Ben Cardin,Dan Bongino,Rob Sobhani,56,26.3,16.4,,,29.7,,,33.21,26.42,26.07,25.45,12.98,16.39,,,,,
MA,Massachusetts,C1,2012,Elizabeth Warren,Scott Brown,,53.7,46.3,,,,7.4,,,33.46,27.2,23.15,25.81,25.16,27.3,,,,,
MI,Michigan,C1,2012,Debbie Stabenow,Pete Hoekstra,,58.8,38,,,,20.8,,,2.78,-0.23,9.5,16.47,3.42,5.13,,,,,
MN,Minnesota,C1,2012,Amy Klobuchar,Kurt Bills,,65.2,30.6,,,,34.6,,,7.12,1.52,7.69,10.24,3.48,2.41,,,,,
MS,Mississippi,C1,2012,Albert N. Gore Jr.,Roger Wicker,,40.6,57.2,,,,-16.6,,,-16.54,-17.8,-11.5,-13.18,-19.69,-16.92,,,,,
MO,Missouri,C1,2012,Claire McCaskill,Todd Akin,,54.8,39,,,,15.8,,,-15.39,-18.63,-9.38,-0.14,-7.2,-3.34,,,,,
MT,Montana,C1,2012,Jon Tester,Denny Rehberg,,48.6,44.9,,,,3.7,,,-16.37,-20.42,-13.65,-2.26,-20.51,-25.08,,,,,
NE,Nebraska,C1,2012,Bob Kerrey,Deb Fischer,,42.2,57.8,,,,-15.6,,,-19.05,-25.05,-21.77,-14.93,-33.22,-29,,,,,
NV,Nevada,C1,2012,Shelley Berkley,Dean Heller,,44.7,45.9,,,,-1.2,,,2.39,2.42,6.68,12.5,-2.59,-3.54,,,,,
NJ,New Jersey,C1,2012,Bob Menendez,Joe Kyrillos,,58.9,39.4,,,,19.5,,,15.93,14.1,17.79,15.57,6.68,15.84,,,,,
NM,New Mexico,C1,2012,Martin Heinrich,Heather Wilson,,51,45.3,,,,5.7,,,10.79,8.22,10.15,15.13,-0.79,0.06,,,,,
NY,New York,C1,2012,Kirsten Gillibrand,Wendy Long,,71.6,27,,,,44.6,,,23.13,22.49,28.18,26.85,18.29,24.98,,,,,
ND,North Dakota,C1,2012,Heidi Heitkamp,Rick Berg,,50.2,49.3,,,,0.9,,,-33.34,-35.73,-19.62,-8.63,-27.36,-27.6,,,,,
OH,Ohio,C1,2012,Sherrod Brown,Josh Mandel,,50.7,44.7,,,,6,,,-8.03,-8.13,2.98,4.59,-2.1,-3.51,,,,,
PA,Pennsylvania,C1,2012,Bob Casey Jr.,Tom Smith,,53.7,44.6,,,,9.1,,,1.16,-0.72,5.38,10.32,2.5,4.17,,,,,
RI,Rhode Island,C1,2012,Sheldon Whitehouse,Barry Hinckley,,64.8,35,,,,29.8,,,20.78,15.51,27.46,27.8,20.75,29.08,,,,,
TN,Tennessee,C1,2012,Mark Clayton,Bob Corker,,30.4,64.9,,,,-34.5,,,-23.21,-26,-20.4,-15.07,-14.27,-3.87,,,,,
TX,Texas,C1,2012,Paul Sadler,Ted Cruz,,40.7,56.5,,,,-15.8,,,-5.58,-8.99,-15.79,-11.77,-22.87,-21.32,,,,,
UT,Utah,C1,2012,Scott Howell,Orrin Hatch,,30,65.3,,,,-35.3,,,-20.48,-18.08,-47.93,-28.17,-45.54,-40.49,,,,,
VT,Vermont,C1,2012,,John MacGovern,Bernie Sanders,,24.9,71,,,46.1,,,35.42,26.41,35.6,37.01,20.14,9.93,,,,,
VA,Virginia,C1,2012,Tim Kaine,George Allen,,52.9,57,,,,-4.1,,,10.11,5.32,3.88,6.3,-8.2,-8.03,,,,,
WA,Washington,C1,2012,Maria Cantwell,Michael Baumgartner,,60.4,39.5,,,,20.9,,,19.2,15.71,14.87,17.17,7.18,5.58,,,,,
WV,West Virginia,C1,2012,Joe Manchin,John Raese,,60.6,36.5,,,,24.1,,,-38.93,-42.07,-26.76,-13.12,-12.86,-6.33,,,,,
WI,Wisconsin,C1,2012,Tammy Baldwin,Tommy Thompson,,51.4,45.9,,,,5.5,,,0.63,-0.77,6.94,13.91,0.38,0.22,,,,,
WY,Wyoming,C1,2012,Tim Chesnut,John Barrasso,,21.7,75.7,,,,-54,,,-43.39,-46.29,-40.82,-32.24,-39.79,-40.06,,,,,
MA,Massachusetts,C2,2013,Ed Markey,Gabriel E. Gomez,,54.8,44.6,,,,10.2,,,33.46,27.2,23.15,25.81,25.16,27.3,,,,,
NJ,New Jersey,C2,2013,Cory Booker,Steve Lonegan,,54.92,44.02,,,,10.9,,,15.93,14.1,17.79,15.57,6.68,15.84,,,,,
HI,Hawaii,C3,2014,Brian Schatz,Campbbell Cavasso,,69.8,27.7,,,,42.1,,,29.46,32.19,42.71,45.27,8.75,18.33,,,,,
OK,Oklahoma,C3,2014,Connie Johnson,James Lankford,,29,67.9,,,,-38.9,,,-33.08,-36.39,-33.54,-31.3,-31.14,-21.88,,,,,
SC,South Carolina,C3,2014,Joyce Dickerson,Tim Scott,,37.1,61.1,,,,-24,,,-11.68,-14.27,-10.47,-8.97,-17.08,-15.94,,,,,
AL,Alabama,C2,2014,,Jeff Sessions,,,,,,,,,,-25.46,-27.72,-22.19,-21.58,-25.62,-14.91,,,,,
AK,Alaska,C2,2014,Mark Begich,Dan Sullivan,,45.8,48,,,,-2.2,,,-10.06,-14.73,-13.99,-21.53,-25.55,-30.95,,,,,
AR,Arkansas,C2,2014,Mark Pryor,Tom Cotton,,39.4,56.5,,,,-17.1,,,-27.62,-26.92,-23.69,-19.86,-9.76,-5.45,,,,,
CO,Colorado,C2,2014,Mark Udall,Cory Gardner,,46.3,48.2,,,,-1.9,,,13.5,4.91,5.36,8.95,-4.67,-8.36,,,,,
DE,Delaware,C2,2014,Chris Coons,Kevin L. Wade,,55.8,42.2,,,,13.6,,,18.97,11.37,18.63,24.99,7.6,13.06,,,,,
GA,Georgia,C2,2014,Michelle Nunn,David Perdue,,45.2,52.9,,,,-7.7,,,0.23,-5.13,-7.82,-5.21,-16.6,-11.69,,,,,
ID,Idaho,C2,2014,Nels Mitchell,Jim Risch,,34.7,65.3,,,,-30.6,,,-30.77,-31.77,-31.69,-25.43,-38.12,-39.53,,,,,
IL,Illinois,C2,2014,Dick Durbin,Jim Oberweis,,53.5,42.7,,,,10.8,,,16.99,17.07,16.84,25.14,10.34,12.02,,,,,
IA,Iowa,C2,2014,Bruce Braley,Joni Ernst,,43.8,52.1,,,,-8.3,,,-8.2,-9.41,5.81,9.54,-0.67,0.32,,,,,
KS,Kansas,C2,2014,,Pat Roberts,Greg Orman,,53.1,42.5,,,-10.6,,,-14.63,-20.6,-21.61,-14.96,-25.38,-20.8,,,,,
KY,Kentucky,C2,2014,Alison Lundergan Grimes,Mitch McConnell,,40.7,56.1,,,,-15.4,,,-25.94,-29.84,-22.69,-16.23,-19.86,-15.13,,,,,
LA,Louisiana,C2,2014,Mary Landrieu,Bill Cassidy,,44.1,55.9,,,,-11.8,,,-18.61,-19.64,-17.2,-18.63,-14.5,-7.67,,,,,
ME,Maine,C2,2014,Shenna Bellows,Susan Collins,,31.5,68.5,,,,-37,,,9.07,2.96,15.29,17.33,8.99,5.12,,,,,
MA,Massachusetts,C2,2014,Ed Markey,Brian Herr,,62,38,,,,24,,,33.46,27.2,23.15,25.81,25.16,27.3,,,,,
MI,Michigan,C2,2014,Gary Peters,Terri Lynn Land,,54.6,41.3,,,,13.3,,,2.78,-0.23,9.5,16.47,3.42,5.13,,,,,
MN,Minnesota,C2,2014,Al Franken,Mike McFadden,,53.2,42.9,,,,10.3,,,7.12,1.52,7.69,10.24,3.48,2.41,,,,,
MS,Mississippi,C2,2014,Travis Childers,Thad Cochran,,37.9,59.9,,,,-22,,,-16.54,-17.8,-11.5,-13.18,-19.69,-16.92,,,,,
MT,Montana,C2,2014,Amanda Curtis,Steve Daines,,40.1,57.8,,,,-17.7,,,-16.37,-20.42,-13.65,-2.26,-20.51,-25.08,,,,,
NE,Nebraska,C2,2014,David Domina,Ben Sasse,,31.5,64.4,,,,-32.9,,,-19.05,-25.05,-21.77,-14.93,-33.22,-29,,,,,
NH,New Hampshire,C2,2014,Jeanne Shaheen,Scott Brown,,51.5,48.2,,,,3.3,,,7.35,0.37,5.58,9.61,1.37,-1.27,,,,,
NJ,New Jersey,C2,2014,Cory Booker,Jeff Bell,,55.8,42.3,,,,13.5,,,15.93,14.1,17.79,15.57,6.68,15.84,,,,,
NM,New Mexico,C2,2014,Tom Udall,Allen Weh,,55.6,44.4,,,,11.2,,,10.79,8.22,10.15,15.13,-0.79,0.06,,,,,
NC,North Carolina,C2,2014,Kay Hagan,Thom Tillis,,44.4,55.6,,,,-11.2,,,-1.34,-3.66,-2.04,0.32,-12.44,-12.83,,,,,
OK,Oklahoma,C2,2014,Matt Silverstein,Jim Inhofe,,28.6,68,,,,-39.4,,,-33.08,-36.39,-33.54,-31.3,-31.14,-21.88,,,,,
